ORGANIZATION NUMBER;Party_ID;ATTRIBUTE17
5020936075;19569886;SE
5020947882;22575583;SE
5020948971;21677294;SE
5020956107;22902853;SE
5020959671;23408886;SE
5101075090;17555507;SE
5106308272;18275369;SE
511217150;22205838;SE
5164010208;180562;SE
5164016668;22651616;SE
5164016718;391286;SE
5164018003;16146626;SE
5164018029;19001158;SE
5164018185;16146627;SE
5164018482;180563;SE
5164018557;21688312;SE
5164018599;12181749;SE
5164019811;14133271;SE
5164023433;14489510;SE
5164023714;81539;SE
5164025297;10702423;SE
5164028119;10919449;SE
5164032533;13124171;SE
5164035171;10531363;SE
5164036351;11179530;SE
5164036716;14941827;SE
5164038266;16146628;SE
5164038662;16146629;SE
5164044405;14249510;SE
5164048497;391312;SE
5164049081;10583424;SE
5164051558;89134;SE
5164057506;13235316;SE
5164058173;22651618;SE
5164060138;22651619;SE
5164061102;22651620;SE
5164070384;11439974;SE
5164073768;391325;SE
5164075862;255806;SE
5164076142;21065;SE
5164082033;17109339;SE
5164084369;391332;SE
5164090283;17628606;SE
5164090879;22651621;SE
5164094244;19422164;SE
5164098757;18034564;SE
5164102773;1280707;SE
5164108796;23336640;SE
5164108846;23061702;SE
5164110669;7278416;SE
5164110677;391365;SE
5164110719;10679586;SE
5164114422;20695649;SE
5164116112;19209619;SE
5164119108;3854148;SE
5164120809;19181556;SE
5164122094;21298261;SE
5164122201;9694370;SE
5164123076;10583444;SE
5164123969;18489503;SE
5164124603;12028776;SE
5164126020;18470594;SE
5164126087;16635970;SE
5164126376;16295927;SE
5164126665;18470847;SE
5164127978;16030521;SE
5164128083;22881702;SE
5164128299;10871811;SE
5164129339;17938592;SE
5164130642;23061734;SE
5171000119;180565;SE
5201252797;15828107;SE
5202115977;12140057;SE
5210182878;15109624;SE
5295017189;21074541;SE
5301092853;18677068;SE
5301302765;20855643;SE
5304223653;15194553;SE
5305161159;16348842;SE
5310013551;20216584;SE
5402251614;18003882;SE
5409102349;18170640;SE
5409155172;15992804;SE
5502181950;391393;SE
5503300195;20918496;SE
5505264498;13236243;SE
5506022655;19231612;SE
5508111423;15949596;SE
5508237038;22514686;SE
5508292058;21677078;SE
5560001975;15620642;SE
5560003468;22651648;SE
5560005273;10583461;SE
5560005331;9494964;SE
5560006834;2334734;SE
5560008020;22196377;SE
5560010802;22651650;SE
5560011842;20737914;SE
5560016064;180568;SE
5560017153;22651651;SE
5560017781;23110875;SE
5560018300;10785061;SE
5560019019;391413;SE
5560021080;22864612;SE
5560023417;10583467;SE
5560027608;16146632;SE
5560028325;11207615;SE
5560030354;125719;SE
5560039967;10583470;SE
5560044181;20695675;SE
5560045311;20695676;SE
5560045378;10583471;SE
5560047903;10583472;SE
5560050048;391416;SE
5560050121;21032475;SE
5560050253;23315468;SE
5560053877;391419;SE
5560056383;9765397;SE
5560057043;18104872;SE
5560057639;10583475;SE
5560057738;10583476;SE
5560057852;1253677;SE
5560064361;357334;SE
5560068230;105439;SE
5560068388;18654887;SE
5560072356;10583480;SE
5560077868;10583481;SE
5560081647;16146633;SE
5560086281;21660785;SE
5560089392;20695678;SE
5560094095;20902325;SE
5560098963;10583482;SE
5560101155;21921563;SE
5560102526;10982084;SE
5560106626;391441;SE
5560109422;20695679;SE
5560116146;20757490;SE
5560117482;10583486;SE
5560118993;16146634;SE
5560120882;10583488;SE
5560123704;21559594;SE
5560123928;10583489;SE
5560124561;10583490;SE
5560124769;10583491;SE
5560125220;10583492;SE
5560125246;180569;SE
5560126012;16146635;SE
5560128240;22651655;SE
5560129206;6186578;SE
5560129800;22600199;SE
5560130535;7369412;SE
5560130709;16146636;SE
5560134628;14350742;SE
5560135864;10583494;SE
5560138256;15110500;SE
5560138819;10583495;SE
5560138827;391446;SE
5560138983;10583496;SE
5560139726;21796511;SE
5560145418;20695680;SE
5560146812;13527506;SE
5560148412;20296246;SE
5560150756;10583499;SE
5560151317;22426915;SE
5560152612;10583500;SE
5560154212;21109158;SE
5560155532;10583501;SE
5560156522;6326791;SE
5560163247;20336498;SE
5560165606;180570;SE
5560166331;22992479;SE
5560167875;16146637;SE
5560168279;20695681;SE
5560168535;10583503;SE
5560168642;11075046;SE
5560169095;391452;SE
5560172065;20737955;SE
5560172222;10583504;SE
5560173386;20695684;SE
5560173600;10583505;SE
5560185570;20695685;SE
5560187113;20888881;SE
5560188822;10583507;SE
5560192055;22651656;SE
5560195546;23094555;SE
5560200924;20695686;SE
5560201781;20695687;SE
5560202169;17282628;SE
5560203217;10583512;SE
5560203472;10583513;SE
5560204595;19530292;SE
5560209107;7559544;SE
5560210261;22126678;SE
5560210303;22651657;SE
5560215286;4171582;SE
5560216318;20695688;SE
5560218603;20695689;SE
5560219338;7624579;SE
5560219684;10583517;SE
5560224171;18217412;SE
5560227067;10583518;SE
